序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2145,688636,智明达,52.96,-5.04,-2.81,74484.0,402164764.0,5.5,55.68,52.61,54.74,55.77,1.41,4.44,84.25,6.69,9210083156.0,8877547369.0,0.17,0.19,44.31,23.62
2146,605133,嵘泰股份,34.38,-5.05,-1.83,124515.0,435408658.0,7.01,36.56,34.02,36.21,36.21,2.04,4.41,49.2,2.58,9721603446.0,9699220691.0,-0.2,-0.64,-12.34,0.26
2147,603767,中马传动,22.69,-5.06,-1.21,111649.0,259305389.0,6.15,24.13,22.66,23.6,23.9,2.05,3.62,207.74,5.04,7002848735.0,7002848735.0,-0.26,-0.53,-12.19,-5.65
2148,603528,多伦科技,10.11,-5.07,-0.54,243410.0,247341290.0,4.88,10.51,9.99,10.46,10.65,2.34,3.45,-270.23,3.75,7136953624.0,7136953624.0,-0.2,-0.1,17.29,4.55
2149,603057,紫燕食品,28.18,-5.09,-1.51,31415.0,90514986.0,5.66,29.85,28.17,29.58,29.69,0.69,0.76,45.02,5.81,11652817475.0,11610160000.0,-0.42,-0.46,56.12,38.54
2150,688507,索辰科技,114.5,-5.11,-6.17,21956.0,256213641.0,6.93,122.0,113.64,122.0,120.67,1.6,4.46,-100.75,3.71,10202955768.0,5637491085.0,-0.38,-0.37,13.51,14.17
2151,600776,东方通信,18.91,-5.12,-1.02,603300.0,1165395896.0,5.12,19.88,18.86,19.75,19.93,1.25,6.31,48.9,6.28,23750961210.0,18077961210.0,-0.11,-0.05,43.26,14.61
2152,688322,奥比中光-UW,99.0,-5.13,-5.35,77184.0,775530515.0,7.93,106.0,97.72,104.03,104.35,1.48,2.42,275.74,13.34,39713279760.0,31548962808.0,-0.28,-0.55,14.5,10.4
2153,688052,纳芯微,180.58,-5.14,-9.79,24201.0,445167121.0,7.23,193.86,180.1,189.0,190.37,1.34,1.7,-156.78,5.0,29366539531.0,25737784431.0,-0.15,-0.24,2.26,14.16
2154,688200,华峰测控,251.2,-5.14,-13.61,31944.0,798159395.0,8.01,260.1,238.88,251.0,264.81,1.97,2.36,65.99,8.77,34045946120.0,34045946120.0,-0.35,-0.08,20.7,32.07
2155,603386,骏亚科技,15.33,-5.14,-0.83,191195.0,297586630.0,4.33,15.93,15.23,15.89,16.16,1.66,5.86,172.77,3.67,5002524845.0,5002524845.0,0.07,0.2,19.49,0.0
2156,600562,国睿科技,30.6,-5.15,-1.66,147423.0,458980141.0,5.11,32.17,30.52,32.17,32.26,1.43,1.19,76.51,5.84,38000849904.0,38000849904.0,-0.13,0.07,7.75,8.28
2157,605305,中际联合,47.15,-5.15,-2.56,54937.0,263678185.0,5.37,49.75,47.08,49.75,49.71,1.9,2.59,17.14,3.51,10020318000.0,10020318000.0,-0.21,-0.34,6.55,13.18
